source,dataset,method,precision_pct,recall_pct,f1_pct,time_s
SMD,machine-3-11,MTGFlow,94.2,89,91.5,187
SMD,machine-3-11,GCAD,92.7,86.7,89.6,135
SMD,machine-3-11,STAMP,65.4,58.8,61.9,36
SMD,machine-3-11,DAMP,61.2,53.2,56.9,47
SMD,machine-3-11,Ours,98.4,96.8,97.6,124
SMD,machine-3-3,k-means,67.5,59.6,63.3,14
SMD,machine-3-3,OCSVM,58.1,51.9,54.8,13
SMD,machine-3-3,MAD-GAN,84.9,77.6,81.1,26
SMD,machine-3-3,OmniAnomaly,91.3,83.8,87.4,192
SMD,machine-3-3,USAD,95.7,91.4,93.5,80
SMD,machine-3-3,GDN,86.2,78.9,82.4,24
SMD,machine-3-3,AT,95.2,92.6,93.9,237
SMD,machine-3-3,TranAD,80.9,71.5,75.9,21
SMD,machine-3-3,FuSAGNet,86.5,79.6,82.9,447
SMD,machine-3-3,MTGFlow,90.8,84.1,87.3,173
SMD,machine-3-3,GCAD,94.9,89.1,91.9,128
SMD,machine-3-3,STAMP,61,56,58.4,42
SMD,machine-3-3,DAMP,69.8,60,64.5,50
SMD,machine-3-3,Ours,96.7,92.6,94.6,137
SMD,machine-3-4,k-means,58.9,51.9,55.2,16
SMD,machine-3-4,OCSVM,63.8,57.9,60.7,16
SMD,machine-3-4,MAD-GAN,89.1,80.5,84.6,23
SMD,machine-3-4,OmniAnomaly,84.8,73.9,79,158
SMD,machine-3-4,USAD,96.5,93,94.7,67
SMD,machine-3-4,GDN,78.5,71.6,74.9,22
SMD,machine-3-4,AT,94.8,89.9,92.3,209
SMD,machine-3-4,TranAD,84.6,74.3,79.1,18
SMD,machine-3-4,FuSAGNet,90.4,78.8,84.2,405
SMD,machine-3-4,MTGFlow,93.1,86.9,89.9,191
SMD,machine-3-4,GCAD,96.2,92.7,94.4,142
SMD,machine-3-4,STAMP,67.3,60.1,63.5,38
SMD,machine-3-4,DAMP,75,66,70.2,46
SMD,machine-3-4,Ours,97.8,96,96.9,115
SMD,machine-3-5,k-means,70.8,67.5,69.1,13
SMD,machine-3-5,OCSVM,60.1,54.9,57.4,14
SMD,machine-3-5,MAD-GAN,91.6,83.2,87.2,21
SMD,machine-3-5,OmniAnomaly,92.5,83.7,87.9,176
SMD,machine-3-5,USAD,95.4,90.5,92.9,75
SMD,machine-3-5,GDN,81.7,71.6,76.3,25
SMD,machine-3-5,AT,96.9,92.8,94.8,221
SMD,machine-3-5,TranAD,89.4,83,86.1,23
SMD,machine-3-5,FuSAGNet,91.2,82.4,86.6,432
SMD,machine-3-5,MTGFlow,89.7,81.5,85.4,167
SMD,machine-3-5,GCAD,93.4,87.8,90.5,126
SMD,machine-3-5,STAMP,60.2,52.7,56.2,41
SMD,machine-3-5,DAMP,65.9,58.2,61.8,52
SMD,machine-3-5,Ours,99,97.8,98.4,122
SMD,machine-3-6,k-means,57.2,51.1,54,15
SMD,machine-3-6,OCSVM,61.7,56.5,59,13
SMD,machine-3-6,MAD-GAN,83.7,76.3,79.8,24
SMD,machine-3-6,OmniAnomaly,90.4,82.4,86.2,183
SMD,machine-3-6,USAD,97,92.3,94.6,78
SMD,machine-3-6,GDN,75.9,69.6,72.6,21
SMD,machine-3-6,AT,97.8,92.7,95.2,230
SMD,machine-3-6,TranAD,79.8,69.7,74.4,20
SMD,machine-3-6,FuSAGNet,84.7,75.4,79.8,398
SMD,machine-3-6,MTGFlow,93.6,87.8,90.6,180
SMD,machine-3-6,GCAD,95.7,89.9,92.7,138
SMD,machine-3-6,STAMP,78.9,62.6,69.8,35
SMD,machine-3-6,DAMP,70.3,61.5,65.6,44
SMD,machine-3-6,Ours,97.5,94,95.7,129
SMD,machine-3-7,k-means,61.7,57.6,59.6,14
SMD,machine-3-7,OCSVM,58.9,52.1,55.3,15
SMD,machine-3-7,MAD-GAN,89.4,81,85,22
SMD,machine-3-7,OmniAnomaly,88.9,81.1,84.8,169
SMD,machine-3-7,USAD,96.3,91.4,93.8,71
SMD,machine-3-7,GDN,83,76.3,79.5,23
SMD,machine-3-7,AT,95.6,91.7,93.6,203
SMD,machine-3-7,TranAD,85.3,76.8,80.8,19
SMD,machine-3-7,FuSAGNet,89.6,81.6,85.4,417
SMD,machine-3-7,MTGFlow,92.5,85.2,88.7,175
SMD,machine-3-7,GCAD,94.1,88.9,91.4,133
SMD,machine-3-7,STAMP,69.7,68.2,68.9,39
SMD,machine-3-7,DAMP,62.4,53.8,57.8,48
SMD,machine-3-7,Ours,98.2,96.2,97.2,117
SMD,machine-3-8,k-means,65.3,60.7,62.9,16
SMD,machine-3-8,OCSVM,60.9,55,57.8,14
SMD,machine-3-8,MAD-GAN,90.8,83.7,87.1,25
SMD,machine-3-8,OmniAnomaly,87.6,81.2,84.3,174
SMD,machine-3-8,USAD,97.1,92.8,94.3,74
SMD,machine-3-8,GDN,73.1,64.1,68.3,22
SMD,machine-3-8,AT,96.7,91.2,93.9,217
SMD,machine-3-8,TranAD,84.2,75.5,79.6,21
SMD,machine-3-8,FuSAGNet,90.1,81.7,85.7,426
SMD,machine-3-8,MTGFlow,91.3,85.5,88.3,184
SMD,machine-3-8,GCAD,93.6,87.4,90.4,121
SMD,machine-3-8,STAMP,66.8,57.8,62,43
SMD,machine-3-8,DAMP,68.1,59.3,63.4,51
SMD,machine-3-8,Ours,96.9,92.4,94.6,125
SMD,machine-3-9,k-means,65.1,60.8,62.9,15
SMD,machine-3-9,OCSVM,64.2,59.4,61.7,13
SMD,machine-3-9,MAD-GAN,88.9,82,85.3,23
SMD,machine-3-9,OmniAnomaly,91.2,81.7,86.2,180
SMD,machine-3-9,USAD,96,91.3,93.6,77
SMD,machine-3-9,GDN,75.1,62.9,68.5,24
SMD,machine-3-9,AT,96.9,94,95.4,224
SMD,machine-3-9,TranAD,84.6,78.6,81.5,22
SMD,machine-3-9,FuSAGNet,84.4,70.6,76.9,413
SMD,machine-3-9,MTGFlow,92.8,82.6,87.4,170
SMD,machine-3-9,GCAD,94.9,82.9,88.5,140
SMD,machine-3-9,STAMP,78.2,68.4,72.9,40
SMD,machine-3-9,DAMP,61.5,52.9,56.9,47
SMD,machine-3-9,Ours,97.4,94.6,96,120
Exathlon,5_1_100000_63-64,k-means,78.4,50.1,61.2,31
Exathlon,5_1_100000_63-64,OCSVM,89.1,56.8,69.4,29
Exathlon,5_1_100000_63-64,MAD-GAN,82.6,43.1,56.7,49
Exathlon,5_1_100000_63-64,OmniAnomaly,92.3,61.7,74,354
Exathlon,5_1_100000_63-64,USAD,88.7,57.1,69.5,157
Exathlon,5_1_100000_63-64,GDN,71.8,35.5,47.6,48
Exathlon,5_1_100000_63-64,AT,82.4,43.8,57.2,462
Exathlon,5_1_100000_63-64,TranAD,79.5,51.2,62.3,43
Exathlon,5_1_100000_63-64,FuSAGNet,65.8,25.8,37,872
Exathlon,5_1_100000_63-64,MTGFlow,78.6,41,53.9,374
Exathlon,5_1_100000_63-64,GCAD,87.4,48,62,281
Exathlon,5_1_100000_63-64,STAMP,91.2,53.6,67.6,77
Exathlon,5_1_100000_63-64,DAMP,85.6,48.2,61.7,101
Exathlon,5_1_100000_63-64,Ours,94.3,59.9,73.2,265
Exathlon,5_1_100000_64-63,k-means,55.6,80.6,65.8,33
Exathlon,5_1_100000_64-63,OCSVM,72.7,81.6,76.9,31
Exathlon,5_1_100000_64-63,MAD-GAN,58.9,75.6,66.2,52
Exathlon,5_1_100000_64-63,OmniAnomaly,68.4,81.8,74.5,382
Exathlon,5_1_100000_64-63,USAD,69.8,81.7,75.3,164
Exathlon,5_1_100000_64-63,GDN,49.7,56.8,53,51
Exathlon,5_1_100000_64-63,AT,58.6,74,65.4,481
Exathlon,5_1_100000_64-63,TranAD,57.3,74,64.6,46
Exathlon,5_1_100000_64-63,FuSAGNet,61.6,41,49.2,911
Exathlon,5_1_100000_64-63,MTGFlow,65.2,62.5,63.8,402
Exathlon,5_1_100000_64-63,GCAD,72.3,64.5,68.2,294
Exathlon,5_1_100000_64-63,STAMP,59.8,72.2,65.4,82
Exathlon,5_1_100000_64-63,DAMP,71.4,62.9,66.9,109
Exathlon,5_1_100000_64-63,Ours,61.9,70.2,65.8,278
SVDB,803,k-means,72.4,48.6,58.1,16
SVDB,803,OCSVM,69.8,47.2,56.3,15
SVDB,803,MAD-GAN,81.5,52.4,63.8,24
SVDB,803,OmniAnomaly,91.2,65.2,76.1,174
SVDB,803,USAD,74.3,46.8,57.5,76
SVDB,803,GDN,92.1,62.5,74.5,24
SVDB,803,AT,94.2,66.8,78.2,226
SVDB,803,TranAD,94.8,61.8,74.8,21
SVDB,803,FuSAGNet,76.8,43.7,55.7,435
SVDB,803,MTGFlow,91.6,59.8,72.3,191
SVDB,803,GCAD,90.8,57.9,70.7,141
SVDB,803,STAMP,95.2,62.3,75.3,39
SVDB,803,DAMP,93.8,61.1,74,51
SVDB,803,Ours,97.1,66.3,78.8,126
SVDB,820,k-means,51.8,62.2,56.5,16
SVDB,820,OCSVM,48.6,65.6,55.8,16
SVDB,820,MAD-GAN,55.2,71.8,62.4,25
SVDB,820,OmniAnomaly,74.6,82.1,78.2,185
SVDB,820,USAD,51.2,68.2,58.5,80
SVDB,820,GDN,80.3,84.7,82.4,25
SVDB,820,AT,71.6,89.5,79.5,241
SVDB,820,TranAD,68.4,91,78.1,23
SVDB,820,FuSAGNet,52.4,73,61,458
SVDB,820,MTGFlow,69.2,84.5,76.1,198
SVDB,820,GCAD,65.7,79.9,72.1,153
SVDB,820,STAMP,70.1,91.9,79.5,42
SVDB,820,DAMP,69.4,95,80.2,54
SVDB,820,Ours,76.4,94.1,84.3,138
SVDB,825,k-means,69.5,55.1,61.5,17
SVDB,825,OCSVM,73.2,51.4,60.4,15
SVDB,825,MAD-GAN,74.8,60.1,66.7,26
SVDB,825,OmniAnomaly,88.5,56.5,68.9,171
SVDB,825,USAD,79.1,48.6,60.2,78
SVDB,825,GDN,89.6,75.7,82.1,23
SVDB,825,AT,91.8,47.6,62.7,229
SVDB,825,TranAD,92.6,77,84.1,22
SVDB,825,FuSAGNet,81.3,66.1,72.9,447
SVDB,825,MTGFlow,87.4,67.8,76.4,184
SVDB,825,GCAD,88.1,63.2,73.6,148
SVDB,825,STAMP,93.4,77.7,84.8,41
SVDB,825,DAMP,91.7,77.5,84,50
SVDB,825,Ours,94.8,82.8,88.4,121
SVDB,827,k-means,57.2,66.4,61.5,16
SVDB,827,OCSVM,55.1,61.7,58.2,16
SVDB,827,MAD-GAN,63.4,69.3,66.2,25
SVDB,827,OmniAnomaly,81.4,63.6,71.4,193
SVDB,827,USAD,59.4,69.9,64.2,82
SVDB,827,GDN,78.2,83.7,80.9,25
SVDB,827,AT,83.7,52.3,64.4,246
SVDB,827,TranAD,90.1,86.1,88,21
SVDB,827,FuSAGNet,61.7,93.4,74.3,472
SVDB,827,MTGFlow,79.6,80.3,80,202
SVDB,827,GCAD,76.4,81.7,78.9,145
SVDB,827,STAMP,89.6,96.7,93,38
SVDB,827,DAMP,81.2,93,86.7,55
SVDB,827,Ours,94.6,97.2,95.9,135
SVDB,842,k-means,71.3,42.6,53.3,17
SVDB,842,OCSVM,78.4,42.4,55,15
SVDB,842,MAD-GAN,74.7,46.2,57.1,24
SVDB,842,OmniAnomaly,84.3,54.7,66.4,179
SVDB,842,USAD,82.6,48.8,61.4,77
SVDB,842,GDN,95.4,66.5,78.4,24
SVDB,842,AT,86.1,52.2,65,235
SVDB,842,TranAD,96.2,67,79,23
SVDB,842,FuSAGNet,85.6,69.1,76.5,425
SVDB,842,MTGFlow,94.7,43.9,60,193
SVDB,842,GCAD,94.2,45.2,61.1,150
SVDB,842,STAMP,97.1,62.9,76.3,43
SVDB,842,DAMP,96.4,64.9,77.5,52
SVDB,842,Ours,98.2,72,83.1,130
SVDB,845,k-means,54.6,65.8,59.7,15
SVDB,845,OCSVM,52.7,67,59,16
SVDB,845,MAD-GAN,51.9,77.2,62.1,26
SVDB,845,OmniAnomaly,68.9,75,71.8,184
SVDB,845,USAD,48.7,72.5,58.3,79
SVDB,845,GDN,63.8,90.9,75,25
SVDB,845,AT,65.4,92.6,76.6,218
SVDB,845,TranAD,64.7,94.1,76.7,20
SVDB,845,FuSAGNet,47.8,78.6,59.4,452
SVDB,845,MTGFlow,62.5,89.4,73.6,188
SVDB,845,GCAD,60.8,85.3,71,139
SVDB,845,STAMP,66.3,94.8,78,40
SVDB,845,DAMP,74.1,91.5,81.9,49
SVDB,845,Ours,72.1,96.7,82.6,119
SVDB,853,k-means,64.8,48.9,55.8,17
SVDB,853,OCSVM,63.9,50.4,56.4,15
SVDB,853,MAD-GAN,72.6,54.3,62.1,25
SVDB,853,OmniAnomaly,86.7,49,62.6,188
SVDB,853,USAD,68.5,51.4,58.8,81
SVDB,853,GDN,86.7,77.7,82,23
SVDB,853,AT,89.3,76.8,82.6,232
SVDB,853,TranAD,88.9,74.2,80.9,22
SVDB,853,FuSAGNet,70.9,53.6,61.1,461
SVDB,853,MTGFlow,85.9,70.4,77.4,201
SVDB,853,GCAD,84.6,65.8,74.1,147
SVDB,853,STAMP,90.4,73.6,81.1,42
SVDB,853,DAMP,88.7,75.9,81.8,53
SVDB,853,Ours,92.7,79.8,85.8,133
SVDB,857,k-means,49.7,69.5,57.9,16
SVDB,857,OCSVM,46.8,68.5,55.6,16
SVDB,857,MAD-GAN,48.3,79.4,60.1,24
SVDB,857,OmniAnomaly,72.3,87.1,79,173
SVDB,857,USAD,45.6,76.6,57.2,75
